"region_id" "fish_id" "year_class" "station_id" "age_range" "d13c" "d18o"
"204" "JP" "2009_10_HH_T23_44L" 2009 "2009_T23" "A" -7.022707717 -0.429847129
"205" "JP" "2009_10_HH_T23_44L" 2009 "2009_T23" "B" -8.707591009 -0.569558181
"206" "JP" "2009_10_HH_T23_44L" 2009 "2009_T23" "C" -9.871447148 -0.604800247
"207" "JP" "2009_10_HH_T23_44L" 2009 "2009_T23" "D" -9.3462999 -0.376039316
"208" "JP" "2009_10_HH_T23_44L" 2009 "2009_T23" "E" -8.584811707 -0.348591792
"209" "JP" "2009_10_HH_T23_44L" 2009 "2009_T23" "F" -7.371742482 -0.033241474
"210" "JP" "2009_10_HH_T23_44L" 2009 "2009_T23" "G" -5.562144224 0.028576363
"211" "JP" "2009_10_HH_T23_42L" 2009 "2009_T23" "A" -6.832218047 -0.56402999
"212" "JP" "2009_10_HH_T23_42L" 2009 "2009_T23" "B" -7.683662637 0.030991932
"213" "JP" "2009_10_HH_T23_42L" 2009 "2009_T23" "C" -7.930463156 -0.003529903
"214" "JP" "2009_10_HH_T23_42L" 2009 "2009_T23" "D" -7.796148765 -0.133629049
"215" "JP" "2009_10_HH_T23_42L" 2009 "2009_T23" "E" -7.139339562 -0.015645104
"216" "JP" "2009_10_HH_T23_42L" 2009 "2009_T23" "F" -6.487077046 0.089321457
"217" "JP" "2009_10_HH_T23_42L" 2009 "2009_T23" "G" -5.972227702 0.150217948
"218" "JP" "2009_10_HH_T23_43L" 2009 "2009_T23" "A" -6.70342021 -0.156126998
"219" "JP" "2009_10_HH_T23_43L" 2009 "2009_T23" "B" -7.401098597 0.132157685
"220" "JP" "2009_10_HH_T23_43L" 2009 "2009_T23" "C" -7.692146908 -0.04689251
"221" "JP" "2009_10_HH_T23_43L" 2009 "2009_T23" "D" -7.333699699 0.026048256
"222" "JP" "2009_10_HH_T23_43L" 2009 "2009_T23" "E" -6.323365362 0.264902736
"223" "JP" "2009_10_HH_T23_43L" 2009 "2009_T23" "F" -5.346910385 0.441554708
"224" "JP" "2009_10_HH_T23_43L" 2009 "2009_T23" "G" -5.286247943 0.333892944
"225" "JP" "2009_10_HH_T23_45L" 2009 "2009_T23" "A" -6.618848321 -0.839384405
"226" "JP" "2009_10_HH_T23_45L" 2009 "2009_T23" "B" -8.100713169 -0.708226005
"227" "JP" "2009_10_HH_T23_45L" 2009 "2009_T23" "C" -9.898750087 -0.786168136
"228" "JP" "2009_10_HH_T23_45L" 2009 "2009_T23" "D" -8.303808059 -0.311219585
"229" "JP" "2009_10_HH_T23_45L" 2009 "2009_T23" "E" -6.712827756 0.204153193
"230" "JP" "2009_10_HH_T23_45L" 2009 "2009_T23" "F" -5.571721374 0.5937903
"231" "JP" "2009_10_HH_T23_45L" 2009 "2009_T23" "G" -5.210821924 0.476468247
"232" "JP" "2009_10_HH_T23_47L" 2009 "2009_T23" "A" -7.110121747 -0.736235573
"233" "JP" "2009_10_HH_T23_47L" 2009 "2009_T23" "B" -8.682746323 -0.654239423
"234" "JP" "2009_10_HH_T23_47L" 2009 "2009_T23" "C" -9.264755945 -0.561879491
"235" "JP" "2009_10_HH_T23_47L" 2009 "2009_T23" "D" -8.191358017 -0.203986309
"236" "JP" "2009_10_HH_T23_47L" 2009 "2009_T23" "E" -6.858922538 0.156326606
"237" "JP" "2009_10_HH_T23_47L" 2009 "2009_T23" "F" -5.564514593 0.494737649
"238" "JP" "2009_10_HH_T23_47L" 2009 "2009_T23" "G" -4.729310042 0.176875834
"239" "JP" "2009_10_HH_T23_48L" 2009 "2009_T23" "A" -6.932653799 -0.485706277
