"order" "type" "day" "sequence" "slide" "ss_order" "sl_order" "status" "treatment" "id_series" "sl" "mg25" "ca48" "mn55" "sr88" "ba138" "pb208"
"95" 95 "MACS-3 13" "2017-12-13" 4 5 11 11 1 NA NA NA 186983.3 1923767.3 895806.8 13848838.5 137948.2 94661.1
"96" 96 "Blank13" "2017-12-13" 4 5 12 12 2 NA NA NA 608.4 7610.4 22287.6 6050 126 73.8
"97" 97 "Line37" "2017-12-13" 4 5 13 13 3 1 "WF-S / 1115 / L / 5E" "10" 4745.7 3498361.2 23041.6 10743121.2 21872.3 261.3
"98" 98 "Raster37" "2017-12-13" 4 5 14 14 4 1 "WF-S / 1115 / L / 5E" "10" 2504.7 3469974.8 23643.7 13202690.2 17406.1 220.2
"99" 99 "Line38" "2017-12-13" 4 5 15 15 3 2 "WF-B / 1132 / R / 5F" "14.5" 5575.3 2828142 22143.5 9702486.3 16263.9 106.9
"100" 100 "Raster38" "2017-12-13" 4 5 16 16 4 2 "WF-B / 1132 / R / 5F" "14.5" 2299.1 3177394.3 21896.1 12548215.9 12923.6 252.6
"101" 101 "Line39" "2017-12-13" 4 5 17 17 3 4 "CL-S / 2079 / R / 5G" "9.1999999999999993" 7834.7 3527191.6 21921.6 17089642.7 27031.9 132.4
"102" 102 "Raster39" "2017-12-13" 4 5 18 18 4 4 "CL-S / 2079 / R / 5G" "9.1999999999999993" 14132.5 3353040.9 22648.2 11622301.7 38203.7 86.1
"103" 103 "Line40" "2017-12-13" 4 5 19 19 3 6 "HB-S / 3887 / R / 5H" "12" 7504.6 3147141.2 21351 11514768.5 12386.1 104.4
"104" 104 "Raster40" "2017-12-13" 4 5 20 20 4 6 "HB-S / 3887 / R / 5H" "12" 6975.6 3801681.1 21742.1 15396433.5 18311.9 122.5
"105" 105 "MACS-3 14" "2017-12-13" 4 5 21 21 1 NA NA NA 197821.2 1996884.9 933703.2 15366281.8 137827.4 93205.3
"106" 106 "Blank14" "2017-12-13" 4 5 22 22 2 NA NA NA 525.3 7356.4 20654.4 6762.9 111.7 75.7
"107" 107 "MACS-3_17" "2017-12-13" 5 6 23 1 1 NA NA NA 131891.5 1282575.1 586572.9 9329172.4 83525.3 50955.7
"108" 108 "Blank_17" "2017-12-13" 5 6 24 2 2 NA NA NA 432.5 7591.7 20552 9127.8 112.2 77.9
"109" 109 "Line41_rerun" "2017-12-13" 5 6 25 3 3 3 "EF / 241 / R / 6A" "15.5" 2304.5 3195709.4 20936.2 12633700.6 20265.1 108.7
"110" 110 "Raster41_rerun" "2017-12-13" 5 6 26 4 4 3 "EF / 241 / R / 6A" "15.5" 3406.8 3452270.9 21107.6 14392399.8 13869.4 68.8
"111" 111 "Line42_rerun" "2017-12-13" 5 6 27 5 3 8 "AB / 1793 / L / 6B" "10.8" 9559.5 3382353.6 20929 13345564.5 17148.2 128.8
"112" 112 "Raster42_rerun" "2017-12-13" 5 6 28 6 4 8 "AB / 1793 / L / 6B" "10.8" 3249.8 2959892 21228.1 9858033.1 10472 74.8
