"id" "lake" "stocking" "ecotype" "sex" "maturity" "origin" "analysis" "material" "date" "d18ovsmow_oto" "d18ovpdb_oto" "corrected_d18ovpdb_oto" "distance_oto" "age" "age_int" "tl" "weight"
"122" "Louisa2012-38SD" "louisa" "O" "P" "female" "mature" "H" "J-1@0" "LOU-38" "17-12-01" 22.95638701 -7.72207504 -6.72207504 1420.339 14.18078227 14 451 970
"123" "Louisa2012-44SD" "louisa" "O" "P" "male" "mature" "L" "K-0@1" "LOU-44" "17-12-01" 23.53498007 -7.16083398 -6.16083398 0 0 0 381 510
"124" "Louisa2012-44SD" "louisa" "O" "P" "male" "mature" "L" "K-0@2" "LOU-44" "17-12-01" 22.22483543 -8.431687389 -7.431687389 161.6888889 0.69018818 0 381 510
"125" "Louisa2012-44SD" "louisa" "O" "P" "male" "mature" "L" "K-0@3" "LOU-44" "17-12-01" 21.96163277 -8.686996593 -7.686996593 323.3777778 1.55090772 1 381 510
"126" "Louisa2012-44SD" "louisa" "O" "P" "male" "mature" "L" "K-0@4" "LOU-44" "17-12-01" 21.67428795 -8.965723945 -7.965723945 485.0666667 2.47689202 2 381 510
"127" "Louisa2012-44SD" "louisa" "O" "P" "male" "mature" "L" "K-0@5" "LOU-44" "17-12-01" 23.65445288 -7.044944162 -6.044944162 646.7555556 3.48058223 3 381 510
"128" "Louisa2012-44SD" "louisa" "O" "P" "male" "mature" "L" "K-0@6" "LOU-44" "17-12-01" 23.10990986 -7.573156337 -6.573156337 808.4444444 4.57609296 4 381 510
"129" "Louisa2012-44SD" "louisa" "O" "P" "male" "mature" "L" "K-0@7" "LOU-44" "17-12-01" 23.02582652 -7.654718013 -6.654718013 970.1333333 5.77940953 5 381 510
"130" "Louisa2012-44SD" "louisa" "O" "P" "male" "mature" "L" "K-0@8" "LOU-44" "17-12-01" 23.35193236 -7.338392087 -6.338392087 1131.822222 7.11807735 7 381 510
"131" "Louisa2012-44SD" "louisa" "O" "P" "male" "mature" "L" "K-0@9" "LOU-44" "17-12-01" 23.46861345 -7.225210269 -6.225210269 1293.511111 8.63502507 8 381 510
"132" "Louisa2012-44SD" "louisa" "O" "P" "male" "mature" "L" "K-1@0" "LOU-44" "17-12-01" 21.93989578 -8.708081694 -7.708081694 1455.2 10 10 381 510
"133" "Louisa2012-45SD" "louisa" "O" "P" "female" "mature" "L" "L-0@1" "LOU-45" "17-12-01" 21.27961307 -9.348562525 -8.348562525 0 0 0 389 550
"134" "Louisa2012-45SD" "louisa" "O" "P" "female" "mature" "L" "L-0@2" "LOU-45" "17-12-01" 21.24896703 -9.37828949 -8.37828949 110.1976364 0.49340223 0 389 550
"135" "Louisa2012-45SD" "louisa" "O" "P" "female" "mature" "L" "L-0@3" "LOU-45" "17-12-01" 21.94446891 -8.703645709 -7.703645709 220.3952727 1.11323807 1 389 550
"136" "Louisa2012-45SD" "louisa" "O" "P" "female" "mature" "L" "L-0@4" "LOU-45" "17-12-01" 23.43221166 -7.260520365 -6.260520365 330.5929091 1.78824309 1 389 550
"137" "Louisa2012-45SD" "louisa" "O" "P" "female" "mature" "L" "L-0@5" "LOU-45" "17-12-01" 21.61166593 -9.026467929 -8.026467929 440.7905455 2.51369644 2 389 550
