"id" "type" "sex" "site" "trap" "utm59e" "utm59n" "cluster" "length" "weight" "gonade_w" "srlarvae" "balarvae" "sradult" "baadult" "increment1" "increment2" "increment3" "increment4" "otolithradius" "age"
"102" "WaiN-21" "Diet" "M" "Waipori" "N2AM" 431009 4909664 "NL" 51.99 1.43 0.003 0.952919615826298 0.00133672132894936 0.76593987085343 0.00348866362327645 0.35 0.39 0.23 NA 0.97 1
"103" "WaiN-22" "Diet" "M" "Waipori" "N2AM" 431009 4909664 "NL" 54.28 1.434 0.003 0.928355224571639 0.00179069975258899 1.24420296615358 0.00462533394074333 0.3 0.37 0.27 NA 0.94 1
"104" "WaiN-23" "Diet" "M" "Waipori" "N2" 431009 4909664 "NL" 57.93 2.013 0.008 1.03493010178105 0.0017849374488943 0.676978425831072 0.00216377262192253 0.297 0.4554 0.2376 NA 0.99 1
"105" "WaiN-24" "Diet" "M" "Waipori" "N5AM" 430440 4909390 "NL" 46.32 1.156 0.006 0.976436842375853 0.00320653714656452 0.803091098476471 0.0032664869982717 0.31 0.38 0.16 NA 0.85 1
"106" "WaiN-25" "Diet" NA "Waipori" "N6" 430608 4909198 "SL" 24.25 0.116 NA 1.19563753630857 0.00429052969014058 1.19742559275478 0.00254500925997731 0.25 0.12 NA NA 0.37 0
"107" "WaiN-26" "Diet" "M" "Waipori" "N6" 430608 4909198 "SL" 49.27 1.489 0.012 0.978262862125339 0.00177485320385594 1.15818770020509 0.00199059461814844 0.29 0.41 0.22 NA 0.92 1
"108" "WaiN-27" "Diet" "F" "Waipori" "N6" 430608 4909198 "SL" 49.14 1.46 0.243 1.43560785358435 0.00474568645386196 1.04282157659447 0.00308690333652552 0.316666666666667 0.484895833333333 0.1484375 NA 0.95 1
"109" "WaiN-28" "Diet" "F" "Waipori" "N6" 430608 4909198 "SL" 45.91 0.964 0.012 1.05163756199814 0.00212125789495809 1.14360150743226 0.00376494019479246 0.28 0.45 0.13 NA 0.86 1
"110" "WaiN-29" "Diet" "M" "Waipori" "N6" 430608 4909198 "SL" 50.95 1.654 0.008 0.866909258681674 0.00184608187189089 0.975076376592273 0.00270553062947923 0.31 0.4 0.28 NA 0.99 1
"111" "WaiN-30" "Diet" "M" "Waipori" "N6" 430608 4909198 "SL" 47.91 1.24 0.011 1.02656002270487 0.00154830308350551 0.59643773888734 0.00267358557605668 0.293295454545455 0.374204545454545 0.2225 NA 0.89 1
"112" "WaiN-31" "Diet" NA "Waipori" "N7" 430787 4909088 "SL" 45.54 1.036 NA NA NA 1.44403542842229 0.0063499128642164 NA NA NA NA NA NA
"113" "WaiN-32" "Diet" "M" "Waipori" "N7" 430787 4909088 "SL" 54.37 1.472 0.007 NA NA NA NA 0.29 0.53 0.11 NA 0.93 1
"114" "WaiN-33" "Diet" "M" "Waipori" "N7" 430787 4909088 "SL" 48.58 1.119 0.013 0.982096724653881 0.00177583850304233 0.882776636016229 0.0017897519986637 0.26 0.32 0.25 NA 0.83 1
"115" "WaiN-34" "Diet" NA "Waipori" "N7" 430787 4909088 "SL" 44.13 1.051 NA NA NA NA NA NA NA NA NA NA NA
"116" "WaiN-35" "Diet" "M" "Waipori" "N7" 430787 4909088 "SL" 53.52 1.617 0.008 1.298005946318 0.00226787868918495 0.945730532547724 0.00358431403257191 0.303030303030303 0.565656565656566 0.131313131313131 NA 1 1
"117" "WaiN-36" "Diet" NA "Waipori" "N7" 430787 4909088 "SL" 47.48 1.294 NA NA NA 1.6057857139199 0.00529558167056355 0.3 0.33 0.15 NA 0.78 1
"118" "WaiN-37" "Diet" "M" "Waipori" "N8" 430988 4909047 "SL" 44.71 0.986 0.011 1.08662520424978 0.001596062169125 1.25570271620804 0.00317322911017231 0.36 0.33 0.12 NA 0.81 1
"119" "WaiN-38" "Diet" "M" "Waipori" "N8" 430988 4909047 "SL" 53.5 1.653 0.008 1.03865527477339 0.00236750070797303 0.919066711468964 0.00231373663849481 0.323404255319149 0.464893617021277 0.161702127659574 NA 0.95 1
"120" "WaiN-39" "Diet" "M" "Waipori" "N8" 430988 4909047 "SL" 49.61 1.244 0.006 NA NA NA NA 0.262888888888889 0.404444444444444 0.242666666666667 NA 0.91 1
"121" "WaiN-40" "Diet" "M" "Waipori" "N5" 430440 4909390 "SL" 41.63 0.996 0.005 1.01181927221204 0.00205241299895581 0.661470125614846 0.00109424422800808 0.25 0.34 0.23 NA 0.82 1
"122" "WaiN-41" "Diet" "M" "Waipori" "N6" 430608 4909198 "SL" 56 1.867 0.021 1.33919819875357 0.00237222144257469 1.18534836264231 0.00176056966350883 0.287238095238095 0.515047619047619 0.237714285714286 NA 1.04 1
"123" "WaiN-42" "Diet" "F" "Waipori" "N7" 430787 4909088 "SL" 48.88 1.924 0.3 1.06232570699517 0.00163506966063797 1.03395541922684 0.002834755225249 0.306352941176471 0.365647058823529 0.168 NA 0.84 1
"124" "WaiN-43" "Diet" "F" "Waipori" "N7" 430787 4909088 "NL" 44.87 0.948 0.059 1.37149446625222 0.0039621532267318 1.07174536725128 0.00193772225189911 0.286329113924051 0.345569620253165 0.148101265822785 NA 0.78 1
"125" "WaiN-44" "Diet" "M" "Waipori" "N7" 430787 4909088 "NL" 52 1.508 0.006 1.07229516381431 0.00206980375685583 1.12134261547501 0.00384224610714114 0.316559139784946 0.346236559139785 0.257204301075269 NA 0.92 1
"126" "WaiN-45" "Diet" "M" "Waipori" "N1" 431271 4909707 "NL" 50 1.5 0.008 0.922387621847044 0.00201212272254168 0.771122023824768 0.00406257575602782 0.308571428571429 0.327857142857143 0.173571428571429 NA 0.81 1
"127" "WaiN-46" "Diet" "F" "Waipori" "N1" 431271 4909707 "NL" 47.16 1.117 0.041 0.816114282390368 0.00237579133911765 0.971316805938056 0.00334824885209333 0.357692307692308 0.398571428571429 0.173736263736264 NA 0.93 1
"128" "WaiS-01" "Diet" "M" "Waipori" "S3" 431525 4908331 "EL" 72.8 4.705 0.023 1.46457496629044 0.00375744389636003 0.44848009773856 0.00164641282146605 0.33 0.42 0.15 0.13 1.03 2
"129" "WaiS-02" "Diet" "M" "Waipori" "S3" 431525 4908331 "EL" 50.29 1.41 0.009 1.09180451721325 0.00245770775897525 0.732489552748816 0.00162336658202064 0.34 0.43 0.22 NA 0.99 1
"130" "WaiS-03" "Diet" "F" "Waipori" "S6" 432291 4908989 "EL" 45.48 1.263 0.01 1.04799761910624 0.00148740075373491 1.04546536393873 0.00225171329726116 0.28 0.37 0.2 NA 0.85 1
